# Export CSV started at 4/17/2019 11:39 AM
# System name: "01_PermanentExcitationDCMotor.ame"
# Data set name: "ref"
# ame_simulation_time;torqrot@emd_DirectCurrentMachine;wrot@emd_DirectCurrentMachine;I2@emd_DirectCurrentMachine;V2@emd_DirectCurrentMachine;Ra@emd_DirectCurrentMachine;
# Time;torque at port 1;rotor speed at port 1;current at port 2;potential at port 2;armature winding resistance;
# s;Nm;rev/min;A;V;Ohm;
0;0.642;0;-3;48;16;
0.5;0.640505;-4.9939;-2.99301;48;16;
1;0.637326;-15.5983;-2.97816;48;16;
1.5;0.634148;-26.2026;-2.96331;48;16;
2;0.630969;-36.807;-2.94845;48;16;
2.5;0.627791;-47.4113;-2.9336;48;16;
3;0.624612;-58.0157;-2.91875;48;16;
3.5;0.621434;-68.6201;-2.9039;48;16;
4;0.618255;-79.2244;-2.88904;48;16;
4.5;0.615077;-89.8288;-2.87419;48;16;
5;0.611898;-100.433;-2.85934;48;16;
5.5;0.60872;-111.038;-2.84449;48;16;
6;0.605541;-121.642;-2.82963;48;16;
6.5;0.602363;-132.246;-2.81478;48;16;
7;0.599184;-142.851;-2.79993;48;16;
7.5;0.596006;-153.455;-2.78507;48;16;
8;0.592827;-164.059;-2.77022;48;16;
8.5;0.589649;-174.664;-2.75537;48;16;
9;0.58647;-185.268;-2.74052;48;16;
9.5;0.583292;-195.872;-2.72566;48;16;
10;0.580114;-206.477;-2.71081;48;16;
10.5;0.576935;-217.081;-2.69596;48;16;
11;0.573757;-227.686;-2.68111;48;16;
11.5;0.570578;-238.29;-2.66625;48;16;
12;0.5674;-248.894;-2.6514;48;16;
12.5;0.564221;-259.499;-2.63655;48;16;
13;0.561043;-270.103;-2.62169;48;16;
13.5;0.557864;-280.707;-2.60684;48;16;
14;0.554686;-291.312;-2.59199;48;16;
14.5;0.551507;-301.916;-2.57714;48;16;
15;0.548329;-312.52;-2.56228;48;16;
15.5;0.54515;-323.125;-2.54743;48;16;
16;0.541972;-333.729;-2.53258;48;16;
16.5;0.538793;-344.333;-2.51773;48;16;
17;0.535615;-354.938;-2.50287;48;16;
17.5;0.532436;-365.542;-2.48802;48;16;
18;0.529258;-376.147;-2.47317;48;16;
18.5;0.526079;-386.751;-2.45831;48;16;
19;0.522901;-397.355;-2.44346;48;16;
19.5;0.519722;-407.96;-2.42861;48;16;
20;0.516544;-418.564;-2.41376;48;16;
20.5;0.513365;-429.168;-2.3989;48;16;
21;0.510187;-439.773;-2.38405;48;16;
21.5;0.507008;-450.377;-2.3692;48;16;
22;0.50383;-460.981;-2.35434;48;16;
22.5;0.500651;-471.586;-2.33949;48;16;
23;0.497473;-482.19;-2.32464;48;16;
23.5;0.494294;-492.795;-2.30979;48;16;
24;0.491116;-503.399;-2.29493;48;16;
24.5;0.487937;-514.003;-2.28008;48;16;
25;0.484759;-524.608;-2.26523;48;16;
25.5;0.48158;-535.212;-2.25038;48;16;
26;0.478402;-545.816;-2.23552;48;16;
26.5;0.475223;-556.421;-2.22067;48;16;
27;0.472045;-567.025;-2.20582;48;16;
27.5;0.468866;-577.629;-2.19096;48;16;
28;0.465688;-588.234;-2.17611;48;16;
28.5;0.462509;-598.838;-2.16126;48;16;
29;0.459331;-609.443;-2.14641;48;16;
29.5;0.456152;-620.047;-2.13155;48;16;
30;0.452974;-630.651;-2.1167;48;16;
30.5;0.449795;-641.256;-2.10185;48;16;
31;0.446617;-651.86;-2.087;48;16;
31.5;0.443438;-662.464;-2.07214;48;16;
32;0.44026;-673.069;-2.05729;48;16;
32.5;0.437082;-683.673;-2.04244;48;16;
33;0.433903;-694.277;-2.02758;48;16;
33.5;0.430725;-704.882;-2.01273;48;16;
34;0.427546;-715.486;-1.99788;48;16;
34.5;0.424368;-726.091;-1.98303;48;16;
35;0.421189;-736.695;-1.96817;48;16;
35.5;0.418011;-747.299;-1.95332;48;16;
36;0.414832;-757.904;-1.93847;48;16;
36.5;0.411654;-768.508;-1.92361;48;16;
37;0.408475;-779.112;-1.90876;48;16;
37.5;0.405297;-789.717;-1.89391;48;16;
38;0.402118;-800.321;-1.87906;48;16;
38.5;0.39894;-810.925;-1.8642;48;16;
39;0.395761;-821.53;-1.84935;48;16;
39.5;0.392583;-832.134;-1.8345;48;16;
40;0.389404;-842.738;-1.81965;48;16;
40.5;0.386226;-853.343;-1.80479;48;16;
41;0.383047;-863.947;-1.78994;48;16;
41.5;0.379869;-874.552;-1.77509;48;16;
42;0.37669;-885.156;-1.76023;48;16;
42.5;0.373512;-895.76;-1.74538;48;16;
43;0.370333;-906.365;-1.73053;48;16;
43.5;0.367155;-916.969;-1.71568;48;16;
44;0.363976;-927.573;-1.70082;48;16;
44.5;0.360798;-938.178;-1.68597;48;16;
45;0.357619;-948.782;-1.67112;48;16;
45.5;0.354441;-959.386;-1.65627;48;16;
46;0.351262;-969.991;-1.64141;48;16;
46.5;0.348084;-980.595;-1.62656;48;16;
47;0.344905;-991.2;-1.61171;48;16;
47.5;0.341727;-1001.8;-1.59685;48;16;
48;0.338548;-1012.41;-1.582;48;16;
48.5;0.33537;-1023.01;-1.56715;48;16;
49;0.332191;-1033.62;-1.5523;48;16;
49.5;0.329013;-1044.22;-1.53744;48;16;
50;0.325834;-1054.83;-1.52259;48;16;
50.5;0.322656;-1065.43;-1.50774;48;16;
51;0.319477;-1076.03;-1.49289;48;16;
51.5;0.316299;-1086.64;-1.47803;48;16;
52;0.31312;-1097.24;-1.46318;48;16;
52.5;0.309942;-1107.85;-1.44833;48;16;
53;0.306763;-1118.45;-1.43347;48;16;
53.5;0.303585;-1129.06;-1.41862;48;16;
54;0.300406;-1139.66;-1.40377;48;16;
54.5;0.297228;-1150.26;-1.38892;48;16;
55;0.294049;-1160.87;-1.37406;48;16;
55.5;0.290871;-1171.47;-1.35921;48;16;
56;0.287693;-1182.08;-1.34436;48;16;
56.5;0.284514;-1192.68;-1.3295;48;16;
57;0.281336;-1203.29;-1.31465;48;16;
57.5;0.278157;-1213.89;-1.2998;48;16;
58;0.274979;-1224.5;-1.28495;48;16;
58.5;0.2718;-1235.1;-1.27009;48;16;
59;0.268622;-1245.7;-1.25524;48;16;
59.5;0.265443;-1256.31;-1.24039;48;16;
60;0.262265;-1266.91;-1.22554;48;16;
60.5;0.259086;-1277.52;-1.21068;48;16;
61;0.255908;-1288.12;-1.19583;48;16;
61.5;0.252729;-1298.73;-1.18098;48;16;
62;0.249551;-1309.33;-1.16612;48;16;
62.5;0.246372;-1319.93;-1.15127;48;16;
63;0.243194;-1330.54;-1.13642;48;16;
63.5;0.240015;-1341.14;-1.12157;48;16;
64;0.236837;-1351.75;-1.10671;48;16;
64.5;0.233658;-1362.35;-1.09186;48;16;
65;0.23048;-1372.96;-1.07701;48;16;
65.5;0.227301;-1383.56;-1.06216;48;16;
66;0.224123;-1394.17;-1.0473;48;16;
66.5;0.220944;-1404.77;-1.03245;48;16;
67;0.217766;-1415.37;-1.0176;48;16;
67.5;0.214587;-1425.98;-1.00274;48;16;
68;0.211409;-1436.58;-0.987891;48;16;
68.5;0.20823;-1447.19;-0.973039;48;16;
69;0.205052;-1457.79;-0.958186;48;16;
69.5;0.201873;-1468.4;-0.943333;48;16;
70;0.198695;-1479;-0.92848;48;16;
70.5;0.195516;-1489.6;-0.913628;48;16;
71;0.192338;-1500.21;-0.898775;48;16;
71.5;0.189159;-1510.81;-0.883922;48;16;
72;0.185981;-1521.42;-0.869069;48;16;
72.5;0.182802;-1532.02;-0.854217;48;16;
73;0.179624;-1542.63;-0.839364;48;16;
73.5;0.176445;-1553.23;-0.824511;48;16;
74;0.173267;-1563.84;-0.809658;48;16;
74.5;0.170088;-1574.44;-0.794806;48;16;
75;0.16691;-1585.04;-0.779953;48;16;
75.5;0.163731;-1595.65;-0.7651;48;16;
76;0.160553;-1606.25;-0.750247;48;16;
76.5;0.157374;-1616.86;-0.735395;48;16;
77;0.154196;-1627.46;-0.720542;48;16;
77.5;0.151017;-1638.07;-0.705689;48;16;
78;0.147839;-1648.67;-0.690836;48;16;
78.5;0.144661;-1659.27;-0.675984;48;16;
79;0.141482;-1669.88;-0.661131;48;16;
79.5;0.138304;-1680.48;-0.646278;48;16;
80;0.135125;-1691.09;-0.631425;48;16;
80.5;0.131947;-1701.69;-0.616573;48;16;
81;0.128768;-1712.3;-0.60172;48;16;
81.5;0.12559;-1722.9;-0.586867;48;16;
82;0.122411;-1733.5;-0.572014;48;16;
82.5;0.119233;-1744.11;-0.557162;48;16;
83;0.116054;-1754.71;-0.542309;48;16;
83.5;0.112876;-1765.32;-0.527456;48;16;
84;0.109697;-1775.92;-0.512603;48;16;
84.5;0.106519;-1786.53;-0.497751;48;16;
85;0.10334;-1797.13;-0.482898;48;16;
85.5;0.100162;-1807.74;-0.468045;48;16;
86;0.0969832;-1818.34;-0.453192;48;16;
86.5;0.0938047;-1828.94;-0.43834;48;16;
87;0.0906262;-1839.55;-0.423487;48;16;
87.5;0.0874477;-1850.15;-0.408634;48;16;
88;0.0842692;-1860.76;-0.393781;48;16;
88.5;0.0810907;-1871.36;-0.378929;48;16;
89;0.0779122;-1881.97;-0.364076;48;16;
89.5;0.0747337;-1892.57;-0.349223;48;16;
90;0.0715553;-1903.17;-0.33437;48;16;
90.5;0.0683768;-1913.78;-0.319518;48;16;
91;0.0651983;-1924.38;-0.304665;48;16;
91.5;0.0620198;-1934.99;-0.289812;48;16;
92;0.0588413;-1945.59;-0.274959;48;16;
92.5;0.0556628;-1956.2;-0.260107;48;16;
93;0.0524843;-1966.8;-0.245254;48;16;
93.5;0.0493058;-1977.41;-0.230401;48;16;
94;0.0461273;-1988.01;-0.215548;48;16;
94.5;0.0429489;-1998.61;-0.200696;48;16;
95;0.0397704;-2009.22;-0.185843;48;16;
95.5;0.0365919;-2019.82;-0.17099;48;16;
96;0.0334134;-2030.43;-0.156137;48;16;
96.5;0.0302349;-2041.03;-0.141285;48;16;
97;0.0270564;-2051.64;-0.126432;48;16;
97.5;0.0238779;-2062.24;-0.111579;48;16;
98;0.0206994;-2072.84;-0.0967263;48;16;
98.5;0.0175209;-2083.45;-0.0818736;48;16;
99;0.0143425;-2094.05;-0.0670208;48;16;
